material_name,category,base_composition,reinforcement,sintering_temp_c,density_g_cm3,notes
SiAlON (alpha),Ceramic Composite,Si-Al-O-N,,1750,3.2,Solid solution of Si3N4
SiAlON (beta),Ceramic Composite,Si-Al-O-N,,1750,3.25,"Elongated grains, high toughness"
Alumina-Carbon Nanotube (CNT),Ceramic Composite,Al2O3,CNTs,1550,3.9,For enhanced fracture toughness
Diamond-like Carbon (DLC) on Si,Coating,Si,DLC coating,200,2.8,"Hard, low friction coating"
TiN on Steel,Coating,Steel,TiN coating,500,7.8,"Hard, wear-resistant coating"
Fly Ash Geopolymer (NaOH activator),Geopolymer,Fly Ash Class F,NaOH,25,1.8,Standard fly ash based geopolymer
Fly Ash Geopolymer (Na2SiO3 activator),Geopolymer,Fly Ash Class F,Na2SiO3,25,1.9,Sodium silicate activation for higher strength
Fly Ash Geopolymer (KOH activator),Geopolymer,Fly Ash Class F,KOH,25,1.85,Potassium-based activator
Metakaolin Geopolymer (Na2SiO3),Geopolymer,Metakaolin,Na2SiO3,25,1.7,Higher reactivity than fly ash
Metakaolin Geopolymer (K2SiO3),Geopolymer,Metakaolin,K2SiO3,25,1.75,Potassium silicate activator
Slag Geopolymer (NaOH),Geopolymer,GGBS,NaOH,25,2.0,Ground Granulated Blast-furnace Slag
Slag Geopolymer (Na2CO3),Geopolymer,GGBS,Na2CO3,25,1.95,Carbonate activation
Fly Ash/Slag (70/30) Blend,Geopolymer,Fly Ash/GGBS,Na2SiO3,25,1.9,Blended precursor for balanced properties
Fly Ash/Slag (50/50) Blend,Geopolymer,Fly Ash/GGBS,Na2SiO3,25,1.95,Higher slag content
Geopolymer Concrete (Basalt aggregate),Geopolymer,Fly Ash,Basalt aggregate,25,2.2,Geopolymer as cement replacement
Geopolymer Foam (H2O2),Geopolymer,Metakaolin,H2O2,60,0.8,Foamed geopolymer for insulation
Geopolymer-Basalt Fiber Composite,Geopolymer,Fly Ash,Basalt Fibers,60,1.9,Fiber-reinforced geopolymer
Geopolymer-Carbon Fiber Composite,Geopolymer,Metakaolin,Carbon Fibers,60,1.8,High strength geopolymer composite
Red Mud Geopolymer,Geopolymer,Red Mud,NaOH,25,2.3,Using bauxite residue waste
Rice Husk Ash Geopolymer,Geopolymer,Rice Husk Ash,Na2SiO3,25,1.6,Using agricultural waste
Geopolymer-Hemp Composite,Geopolymer,Fly Ash,Hemp Fibers,25,1.5,Bio-composite with geopolymer binder
High-Temperature Geopolymer (Phosphate),Geopolymer,Metakaolin,H3PO4,25,2.1,Phosphate-bonded for high temp resistance
Ferro-sialate Geopolymer,Geopolymer,Fly Ash,Fe2O3,25,2.0,Iron-rich geopolymer
Geopolymer Mortar,Geopolymer,Fly Ash,Sand,25,2.1,Geopolymer binder for mortar application
Self-healing Geopolymer (Microcapsules),Geopolymer,Fly Ash,Microcapsules,25,1.85,With encapsulated healing agent
Concrete + Nano-Silica (3%),Concrete Additive,OPC,Nano-Silica 3%,25,2.4,Reference from original study
Concrete + Titanium Dioxide (3%),Concrete Additive,OPC,TiO2 3%,25,2.4,Reference from original study
Concrete + Graphene Oxide (0.1%),Concrete Additive,OPC,Graphene Oxide 0.1%,25,2.4,Low dosage graphene
Concrete + Carbon Nanotubes (0.1%),Concrete Additive,OPC,CNTs 0.1%,25,2.4,CNT reinforcement
Concrete + Basalt Fibers (1%),Concrete Additive,OPC,Basalt Fibers 1%,25,2.4,Fiber reinforcement
Concrete + Bacterial Spores (1%),Concrete Additive,OPC,Bacterial Spores 1%,25,2.4,Bio self-healing
Concrete + Mullite (5%),Concrete Additive,OPC,Mullite 5%,25,2.45,Ceramic additive for high temp
Concrete + Cordierite (5%),Concrete Additive,OPC,Cordierite 5%,25,2.43,Ceramic additive for thermal shock
Concrete + Spinel (5%),Concrete Additive,OPC,Spinel 5%,25,2.45,Hard ceramic additive
Concrete + SiC particles (5%),Concrete Additive,OPC,SiC particles 5%,25,2.48,Hardness and wear resistance
Concrete + AlN particles (2%),Concrete Additive,OPC,AlN particles 2%,25,2.42,Thermal conductivity modification
Concrete + B4C particles (2%),Concrete Additive,OPC,B4C particles 2%,25,2.41,Hardness enhancement
Concrete + Wollastonite,Concrete Additive,OPC,CaSiO3,25,2.4,Reduces shrinkage
Concrete + Phase Change Material (PCM),Concrete Additive,OPC,Microencapsulated PCM,25,2.3,Thermal energy storage
Concrete + Superabsorbent Polymer (SAP),Concrete Additive,OPC,SAP,25,2.35,Internal curing
UHPC (Ultra-High Performance Concrete),Concrete Additive,OPC+Silica Fume,Steel Fibers,25,2.5,High strength concrete reference
Shotcrete Mix,Concrete Additive,OPC,Accelerators,25,2.3,Sprayed concrete application
Lightweight Concrete (Expanded Clay),Concrete Additive,OPC,Expanded Clay Aggregate,25,1.8,Low density concrete
Heavyweight Concrete (Barite),Concrete Additive,OPC,Barite Aggregate,25,3.5,Radiation shielding
Pervious Concrete,Concrete Additive,OPC,No fines,25,2.0,Water-permeable concrete
Low-Coherence Mix (High w/c),Failure Case,OPC,Excess Water,25,2.2,"High porosity, low strength"
Cracked Alumina,Failure Case,Al2O3,Pre-existing microcracks,1700,3.9,Modeling failure initiation
Amorphous Silica,Failure Case,SiO2,,1200,2.2,"Non-crystalline structure, low coherence"
Over-reinforced Composite (30% SiC),Failure Case,Al2O3,SiC Whiskers 30%,1850,3.7,Excess reinforcement leading to brittleness
Under-sintered Alumina,Failure Case,Al2O3,,1300,3.2,High porosity due to incomplete sintering
Phase-separated Zirconia,Failure Case,ZrO2,Y2O3,1200,5.8,Improper stabilization leading to phase separation
Geopolymer (Wrong Activator Ratio),Failure Case,Fly Ash,Wrong Na2SiO3/NaOH ratio,25,1.7,Incomplete reaction
Bloated Ceramic,Failure Case,Clay,,1250,2.0,Gas evolution during firing
Devitrified Glass,Failure Case,Glass,,800,2.6,Uncontrolled crystallization
Thermal Shocked SiC,Failure Case,SiC,Quenched from 1000C,2100,3.2,Contains thermal shock induced cracks
Agglomerated Nanoparticles in Concrete,Failure Case,OPC,Agglomerated Nano-Silica,25,2.4,Poor dispersion of nanoparticles
Contaminated Raw Material (Fe),Failure Case,Al2O3,Iron contamination,1650,3.95,Impurity affecting properties
Wrong Firing Atmosphere (Oxidized Si3N4),Failure Case,Si3N4,,1400,3.1,Fired in air instead of N2
PZT Depoled,Failure Case,PZT,Heated above Curie temp,400,7.5,Lost piezoelectric properties
C/C Composite (Oxidized),Failure Case,Carbon,Carbon Fibers,800,1.5,Exposed to high temp air
Geopolymer (Efflorescence),Failure Case,Fly Ash,Excess Alkali,25,1.8,Salt deposits on surface
Concrete (Alkali-Silica Reaction),Failure Case,OPC,Reactive Aggregate,25,2.4,Internal cracking due to ASR
Slump Failed Concrete,Failure Case,OPC,Incorrect mix design,25,2.4,Wrong rheology
Segregated Concrete Mix,Failure Case,OPC,Poor mixing,25,2.4,Separation of components
Freeze-Thaw Damaged Concrete,Failure Case,OPC,No air entrainment,25,2.3,Damage from ice formation
Dosage Study: Nano-Silica in OPC,Dosage Study,OPC,Nano-Silica,25,2.4,0-5% dosage in 20 steps
Dosage Study: Graphene Oxide in OPC,Dosage Study,OPC,Graphene Oxide,25,2.4,0-0.5% dosage in 20 steps
Dosage Study: CNTs in OPC,Dosage Study,OPC,CNTs,25,2.4,0-0.5% dosage in 20 steps
Dosage Study: SiC particles in Al2O3,Dosage Study,Al2O3,SiC particles,1700,3.9,0-20% dosage in 20 steps
Dosage Study: Y2O3 in ZrO2,Dosage Study,ZrO2,Y2O3,1500,6.0,1-8mol% dosage in 20 steps
Dosage Study: Basalt Fibers in Geopolymer,Dosage Study,Fly Ash Geopolymer,Basalt Fibers,60,1.9,0-3% dosage in 20 steps
Dosage Study: TiO2 in OPC,Dosage Study,OPC,TiO2,25,2.4,0-5% dosage in 20 steps
Dosage Study: Bacterial Spores in OPC,Dosage Study,OPC,Bacterial Spores,25,2.4,0-5% dosage in 20 steps
Dosage Study: Slag in Fly Ash Geopolymer,Dosage Study,Fly Ash Geopolymer,GGBS,25,1.9,0-100% slag replacement in 20 steps
Dosage Study: Cobalt in WC,Dosage Study,WC,Cobalt,1400,15.0,2-20% cobalt binder in 20 steps
